metric,observed,predicted_median,predicted_lower_95,predicted_upper_95
Mean goals,1.3965789473684211,1.3976973684210527,1.3615888157894735,1.4286907894736842
Variance of goals,1.6174116400357388,1.6349706592280147,1.5499657438478749,1.7041158982137539
Zero-goal proportion,0.27539473684210525,0.27375000000000005,0.2620296052631579,0.2867796052631579
Maximum goals,9,9,8,11
