metric,observed,predicted_median,predicted_lower_95,predicted_upper_95
Mean goals conceded,1.3965789473684211,1.3974342105263158,1.360782894736842,1.4325526315789472
Variance of goals conceded,1.6174116400357388,1.6376947364957992,1.5658450800313062,1.7123597807190696
Clean-sheet proportion,0.27539473684210525,0.27381578947368423,0.26342105263157894,0.2863848684210526
Maximum goals conceded,9,9,8,12
