Season,Date,HomeTeam,AwayTeam,present_team,present_side,missing_team,missing_side,present_manager
2019/2020,2020-07-12,Bournemouth,Leicester City,Leicester City,away,Bournemouth,home,BRENDAN RODGERS
2021/2022,2021-08-28,Norwich City,Leicester City,Leicester City,away,Norwich City,home,BRENDAN RODGERS
2018/2019,2018-10-22,Arsenal,Leicester City,Leicester City,away,Arsenal,home,CLAUDE PUEL
2014/2015,2015-05-24,Leicester City,QPR,Leicester City,home,QPR,away,CLAUDIO RANIERI
2016/2017,2016-11-26,Leicester City,Middlesbrough,Leicester City,home,Middlesbrough,away,CLAUDIO RANIERI
2016/2017,2017-01-02,Middlesbrough,Leicester City,Leicester City,away,Middlesbrough,home,CLAUDIO RANIERI
2016/2017,2016-12-14,Middlesbrough,Liverpool,Liverpool,away,Middlesbrough,home,JURGEN KLOPP
2016/2017,2017-05-21,Liverpool,Middlesbrough,Liverpool,home,Middlesbrough,away,JURGEN KLOPP
2018/2019,2018-11-03,Arsenal,Liverpool,Liverpool,away,Arsenal,home,JURGEN KLOPP
2018/2019,2018-12-29,Liverpool,Arsenal,Liverpool,home,Arsenal,away,JURGEN KLOPP
2019/2020,2019-08-24,Liverpool,Arsenal,Liverpool,home,Arsenal,away,JURGEN KLOPP
2019/2020,2020-03-07,Liverpool,Bournemouth,Liverpool,home,Bournemouth,away,JURGEN KLOPP
2021/2022,2021-08-14,Norwich City,Liverpool,Liverpool,away,Norwich City,home,JURGEN KLOPP
2014/2015,2015-05-10,Manchester City,QPR,Manchester City,home,QPR,away,MANUEL PELLEGRINI
2016/2017,2016-11-05,Manchester City,Middlesbrough,Manchester City,home,Middlesbrough,away,PEP GUARDIOLA
2016/2017,2017-04-30,Middlesbrough,Manchester City,Manchester City,away,Middlesbrough,home,PEP GUARDIOLA
2018/2019,2018-08-12,Arsenal,Manchester City,Manchester City,away,Arsenal,home,PEP GUARDIOLA
2018/2019,2019-02-03,Manchester City,Arsenal,Manchester City,home,Arsenal,away,PEP GUARDIOLA
2019/2020,2019-12-15,Arsenal,Manchester City,Manchester City,away,Arsenal,home,PEP GUARDIOLA
2019/2020,2020-07-15,Manchester City,Bournemouth,Manchester City,home,Bournemouth,away,PEP GUARDIOLA
2021/2022,2021-08-21,Manchester City,Norwich City,Manchester City,home,Norwich City,away,PEP GUARDIOLA
2022/2023,2022-08-07,Manchester Utd,Brighton,Manchester Utd,home,Brighton,away,ERIK TEN HAG
2016/2017,2016-12-31,Manchester Utd,Middlesbrough,Manchester Utd,home,Middlesbrough,away,JOSE MOURINHO
2016/2017,2017-03-19,Middlesbrough,Manchester Utd,Manchester Utd,away,Middlesbrough,home,JOSE MOURINHO
2018/2019,2018-12-05,Manchester Utd,Arsenal,Manchester Utd,home,Arsenal,away,JOSE MOURINHO
2018/2019,2019-03-10,Arsenal,Manchester Utd,Manchester Utd,away,Arsenal,home,OLE GUNNAR SOLSKJAER
2019/2020,2019-09-30,Manchester Utd,Arsenal,Manchester Utd,home,Arsenal,away,OLE GUNNAR SOLSKJAER
2019/2020,2020-07-04,Manchester Utd,Bournemouth,Manchester Utd,home,Bournemouth,away,OLE GUNNAR SOLSKJAER
2021/2022,2021-09-25,Manchester Utd,Aston Villa,Manchester Utd,home,Aston Villa,away,RALF RANGNICK
2021/2022,2021-08-21,Aston Villa,Newcastle Utd,Newcastle Utd,away,Aston Villa,home,EDDIE HOWE
2014/2015,2015-04-13,Liverpool,Newcastle Utd,Newcastle Utd,away,Liverpool,home,JOHN CARVER
2014/2015,2015-05-16,QPR,Newcastle Utd,Newcastle Utd,away,QPR,home,JOHN CARVER
2018/2019,2018-09-15,Newcastle Utd,Arsenal,Newcastle Utd,home,Arsenal,away,RAFAEL BENITEZ
2018/2019,2019-04-01,Arsenal,Newcastle Utd,Newcastle Utd,away,Arsenal,home,RAFAEL BENITEZ
2019/2020,2019-08-11,Newcastle Utd,Arsenal,Newcastle Utd,home,Arsenal,away,STEVE BRUCE
2019/2020,2020-07-01,Bournemouth,Newcastle Utd,Newcastle Utd,away,Bournemouth,home,STEVE BRUCE
2019/2020,2019-12-01,Norwich City,Arsenal,Norwich City,home,Arsenal,away,DANIEL FARKE
2019/2020,2020-01-18,Norwich City,Bournemouth,Norwich City,home,Bournemouth,away,DANIEL FARKE
2019/2020,2019-10-21,Sheffield Utd,Arsenal,Sheffield Utd,home,Arsenal,away,CHRIS WILDER
2019/2020,2020-02-09,Sheffield Utd,Bournemouth,Sheffield Utd,home,Bournemouth,away,CHRIS WILDER
2016/2017,2016-12-11,Southampton,Middlesbrough,Southampton,home,Middlesbrough,away,CLAUDE PUEL
2016/2017,2017-05-13,Middlesbrough,Southampton,Southampton,away,Middlesbrough,home,MAURICIO PELLEGRINO
2018/2019,2018-12-16,Southampton,Arsenal,Southampton,home,Arsenal,away,RALPH HASENHUTTL
2018/2019,2019-02-24,Arsenal,Southampton,Southampton,away,Arsenal,home,RALPH HASENHUTTL
2019/2020,2019-11-23,Arsenal,Southampton,Southampton,away,Arsenal,home,RALPH HASENHUTTL
2019/2020,2020-07-19,Bournemouth,Southampton,Southampton,away,Bournemouth,home,RALPH HASENHUTTL
2021/2022,2021-11-05,Southampton,Aston Villa,Southampton,home,Aston Villa,away,RALPH HASENHUTTL
2015/2016,2015-08-30,Southampton,Norwich City,Southampton,home,Norwich City,away,RONALD KOEMAN
2015/2016,2015-09-26,Southampton,Swansea City,Southampton,home,Swansea City,away,RONALD KOEMAN
2014/2015,2015-05-24,Stoke City,Liverpool,Stoke City,home,Liverpool,away,MARK HUGHES
2015/2016,2015-08-09,Stoke City,Liverpool,Stoke City,home,Liverpool,away,MARK HUGHES
2015/2016,2015-08-22,Norwich City,Stoke City,Stoke City,away,Norwich City,home,MARK HUGHES
2016/2017,2016-08-13,Middlesbrough,Stoke City,Stoke City,away,Middlesbrough,home,MARK HUGHES
2016/2017,2017-03-04,Stoke City,Middlesbrough,Stoke City,home,Middlesbrough,away,MARK HUGHES
2016/2017,2016-08-21,Sunderland,Middlesbrough,Sunderland,home,Middlesbrough,away,DAVID MOYES
2016/2017,2017-04-26,Middlesbrough,Sunderland,Sunderland,away,Middlesbrough,home,DAVID MOYES
2015/2016,2015-08-15,Sunderland,Norwich City,Sunderland,home,Norwich City,away,DICK ADVOCAAT
2015/2016,2015-12-19,Chelsea,Sunderland,Sunderland,away,Chelsea,home,SAM ALLARDYCE
2016/2017,2016-12-17,Middlesbrough,Swansea City,Swansea City,away,Middlesbrough,home,BOB BRADLEY
2016/2017,2017-04-02,Swansea City,Middlesbrough,Swansea City,home,Middlesbrough,away,PAUL CLEMENT
2019/2020,2020-07-09,Bournemouth,Tottenham,Tottenham,away,Bournemouth,home,JOSE MOURINHO
2014/2015,2015-03-07,QPR,Tottenham,Tottenham,away,QPR,home,MAURICIO POCHETTINO
2015/2016,2015-10-04,Swansea City,Tottenham,Tottenham,away,Swansea City,home,MAURICIO POCHETTINO
2016/2017,2016-09-24,Middlesbrough,Tottenham,Tottenham,away,Middlesbrough,home,MAURICIO POCHETTINO
2016/2017,2017-02-04,Tottenham,Middlesbrough,Tottenham,home,Middlesbrough,away,MAURICIO POCHETTINO
2018/2019,2018-12-02,Arsenal,Tottenham,Tottenham,away,Arsenal,home,MAURICIO POCHETTINO
2018/2019,2019-03-02,Tottenham,Arsenal,Tottenham,home,Arsenal,away,MAURICIO POCHETTINO
2019/2020,2019-09-01,Arsenal,Tottenham,Tottenham,away,Arsenal,home,MAURICIO POCHETTINO
2021/2022,2021-10-03,Tottenham,Aston Villa,Tottenham,home,Aston Villa,away,RYAN MASON
2021/2022,2021-08-14,Watford,Aston Villa,Watford,home,Aston Villa,away,CLAUDIO RANIERI
2021/2022,2021-09-18,Norwich City,Watford,Watford,away,Norwich City,home,CLAUDIO RANIERI
2018/2019,2019-04-15,Watford,Arsenal,Watford,home,Arsenal,away,HAYDEN MULLINS
2018/2019,2018-09-29,Arsenal,Watford,Watford,away,Arsenal,home,JAVI GARCIA
2016/2017,2017-01-14,Watford,Middlesbrough,Watford,home,Middlesbrough,away,MARCO SILVA
2019/2020,2019-09-15,Watford,Arsenal,Watford,home,Arsenal,away,NIGEL PEARSON
2019/2020,2020-01-12,Bournemouth,Watford,Watford,away,Bournemouth,home,NIGEL PEARSON
2016/2017,2016-10-16,Middlesbrough,Watford,Watford,away,Middlesbrough,home,WALTER MAZZARRI
2014/2015,2015-04-04,West Brom,QPR,West Brom,home,QPR,away,TONY PULIS
2014/2015,2015-04-25,West Brom,Liverpool,West Brom,home,Liverpool,away,TONY PULIS
2016/2017,2016-08-28,West Brom,Middlesbrough,West Brom,home,Middlesbrough,away,TONY PULIS
2016/2017,2017-01-31,Middlesbrough,West Brom,West Brom,away,Middlesbrough,home,TONY PULIS
2021/2022,2021-10-31,Aston Villa,West Ham,West Ham,away,Aston Villa,home,DAVID MOYES
2018/2019,2018-08-25,Arsenal,West Ham,West Ham,away,Arsenal,home,MANUEL PELLEGRINI
2018/2019,2019-01-12,West Ham,Arsenal,West Ham,home,Arsenal,away,MANUEL PELLEGRINI
2019/2020,2019-12-09,West Ham,Arsenal,West Ham,home,Arsenal,away,MANUEL PELLEGRINI
2014/2015,2015-04-25,QPR,West Ham,West Ham,away,QPR,home,SAM ALLARDYCE
2016/2017,2016-10-01,West Ham,Middlesbrough,West Ham,home,Middlesbrough,away,SLAVEN BILIC
2016/2017,2017-01-21,Middlesbrough,West Ham,West Ham,away,Middlesbrough,home,SLAVEN BILIC
2021/2022,2021-10-16,Aston Villa,Wolves,Wolves,away,Aston Villa,home,BRUNO LAGE
2018/2019,2018-11-11,Arsenal,Wolves,Wolves,away,Arsenal,home,NUNO ESPIRITO SANTO
2018/2019,2019-04-24,Wolves,Arsenal,Wolves,home,Arsenal,away,NUNO ESPIRITO SANTO
2019/2020,2019-11-02,Arsenal,Wolves,Wolves,away,Arsenal,home,NUNO ESPIRITO SANTO
2019/2020,2020-06-24,Wolves,Bournemouth,Wolves,home,Bournemouth,away,NUNO ESPIRITO SANTO
