term,log_rate_estimate,log_rate_lower_95,log_rate_upper_95,rate_ratio,rate_ratio_lower_95,rate_ratio_upper_95,percent_change
Intercept,0.15019465085038,0.0329086768,0.2718029655,1.1620604167634008,1.033456156408437,1.3123284018649413,16.206041676340078
HomeFlag,0.21353762914375,0.17575414475,0.25135736175,1.2380500841561735,1.1921449275290394,1.2857694870738194,23.805008415617344
ManagerPeriodMatches1M3,-0.005997943973323826,-0.0914665834,0.07822046775,0.994020007783487,0.9125918113580087,1.0813610376265848,-0.5979992216513019
ManagerPeriodMatches4M6,-0.05297583882923788,-0.14432007125,0.03560515972499995,0.9484029267305436,0.8656106466337895,1.0362466138075042,-5.1597073269456395
ManagerPeriodMatches7M10,-0.0775890151424465,-0.16267838425,0.004118524982499915,0.9253446510445286,0.849864474266007,1.004127017761754,-7.465534895547144
